A-E
Abie 阿碧
Nina 妮娜
Nishta 妮什塔
Noa 诺阿
Noelle 诺尔
Norah 诺拉
Nori 诺丽
Olive 奥利维
Olivia 奥利维亚
Ophelia 欧菲丽娅
P-T
Pam 帕姆
Pamela 帕米拉
Patricia 帕特里夏
Patsy 帕特茜
Paula 宝拉
Pauline 宝林
Pear 芘尔
Pearl 珍珠
Peggy 佩吉
Penelope 佩内洛普
Penny 佩妮
Phoenix 菲尼克斯
Phyllis 菲丽丝
Priscilla 普里西拉
Prudence 普鲁登丝
Rachael 蕾切尔
Rachel 蕾切尔
Rebecca 丽贝卡
Rebeckah 丽贝卡
Rebekka 丽贝卡
Regina 蕾吉娜
Rejane 蕾珍
Renee 蕾妮
Rhianne 莉安
Rita 莉塔
Roberta 罗伯塔
Romy 罗密
Rosa 萝莎
Rose 罗斯
Roselyn 罗丝雷恩
Rosie 萝西
Rosy 萝西
Roxana 罗克莎娜
Roxanne 罗克珊
Ruth 露丝
Sabine 萨宾
Sabrina 萨布丽娜
Sadie 萨蒂

Sally 莎莉
Salomay 莎乐美
Sandra 桑德拉
Sandy 桑迪
Sanny 萨妮
Sara 莎拉
Sarah 莎拉
Satina 萨蒂娜
Savannah 萨凡纳
Scarlett 斯嘉丽
Selena 塞蕾娜
Seleste 西莱斯特
Serena 塞雷娜
Shaleen 沙琳
Shana 莎娜
Shanie 沙妮
Shannen 莎侬
Shannon 莎侬
Sharon 雪伦
Shary 莎莉
Shatoya 赛图雅
Shauna 邵娜
Shawn 肖恩
Sheena 茜娜
Sheila 晒垃
Shelby 谢尔碧
Shelley 谢莉
Shelly 雪莱
Shiela 希拉
Shirila 什丽拉
Shirley 雪莉
Silvana 茜尔瓦娜
Simone 茜蒙
Sloane 斯隆
Sofia 索菲娅
Solenne 苏莲
Sonia 索尼娅
Sonja 宋雅
Sophia 苏菲娅
Stacey 斯黛茜
Stefany 斯蒂芬妮
Stella 斯特拉
Stephany 斯蒂芬妮
Susie 苏西
Suzanne 苏珊
Suzel 苏塞
Suzie 苏西
Sybelle 希贝
Sylvia 西尔维娅
Sylvie 西尔维
Tabatha 塔芭塔
Tamara 塔玛拉
Tammy 塔米
Tania 塔尼娅
Tara 泰拉
Tatiana 塔提安娜
Thalia 塔莉娅
Tia 缇娅
Tiffany 蒂凡妮
Tina 蒂娜
Tori 托莉
Tracy 翠西
Treena 特丽娜
Tricia 特瑞萨
Trina 崔娜
Trinity 翠妮缇
Tyrone 泰朗
U-Z
Valentine 瓦伦汀
Valeria 瓦莱里娅
Vay 薇
Venus 维纳斯
Veronica 维罗尼卡
Vicki 薇琪
Vicky 维吉
Victoria 维多利亚
Virginia 维吉尼亚
Viviane 维维安
Wanda 旺达
Wendy 温蒂
Yasmine 雅斯敏
Zoe 佐伊

Male Chinese Names
A-E
Aaron 阿隆
Abigail 阿比盖尔
Abraham 亚伯拉罕
Achille 阿希尔
Adam 亚当
Adrian 阿德里安
Adrien 阿德里安
Aki 阿基
Alan 阿兰
Alban 阿尔本
Albert 阿尔伯特
Alec 阿雷克
Alex 阿列克斯
Alexander 亚历山大
Alexandre 亚历山大
Alfonso 阿方索
Alfred 阿尔弗雷德
Allan 阿兰
Allen 阿伦
Allison 埃里森
Amadeo 阿马德奥
Amedeo 阿米地奥
Andelin 安德林
Andre 安德烈
Andrew 安德鲁
Andy 安迪
Anthony 安东尼
Antonio 安东尼奥
Antony 安东尼
Apollon 阿波罗
Ariel 亚列
Aris 阿里斯
Arnold 阿尔诺德
Arthur 阿瑟
August 奥古斯特
Austin 奥斯汀
Barry 巴利
Ben 本
Benjamin 本杰明
Benny 本尼
Bernard 伯纳德
Bernie 贝尔尼
Bill 比尔
Billo 比卢
Billy 比利
Birger 比尔格
Blake 布莱克
Bob 鲍步
Bobby 鲍比
Booba 布巴
Boris 鲍里斯
Brad 布拉德
Brandan 布兰丹
Brandon 布阑登
Brendan 布兰丹
Brendon 布兰登
Brent 布兰特
Brett 布雷特
Brian 布莱恩
Bridie 布里迪
Bruce 布鲁斯
Bryan 布莱恩
Byron 拜伦
Caden 卡登
Calvin 卡尔文
Cameron 卡梅隆
Carlone 卡尔伦
Carlos 卡洛斯
Casey 凯西
Casper 卡斯派
Cassey 凯西
Cassidy 卡希蒂
Cedric 塞德里克
Cesar 西泽
Chad 查德
Charles 查而斯
Charley 查利
Charlie 查利
Charly 查利
Chase 蔡斯
Chico 奇科
Chris 克里斯
Christ 基督
Christian 克里斯蒂安
Christo 克来斯多
Christopher 克来斯多夫
Claudy 克劳迪
Colin 科琳
Connor 康纳
Constantin 康斯坦丁
Cooper 库珀
Corentin 科朗汀
Corey 克里
Cory 克里
Craig 克雷格
Cristian 克里斯蒂安
Curtis 柯蒂斯
Cyril 西里尔
Damien 达米恩
Damon 戴蒙
Dan 丹
Danny 丹尼
Dany 丹尼
Darcie 达尔西

Darcy 达尔西
Darian 达里安
Darrell 达瑞尔
Darren 达伦
Daryl 达里尔
Dave 戴夫
David 大卫
Davy 大卫
Dean 迪恩
Dennis 丹尼斯
Derek 德里克
Devis 德维斯
Dimitri 迪米特里
Don 唐
Donald 唐纳德
Donovan 多诺万
Douglas 道格拉斯
Duncan 邓肯
Dylan 迪伦
Eddy 艾迪
Eden 伊甸
Edison 埃迪森
Edmond 埃德蒙
Edward 爱德华
Elian 伊良
Elias 埃利亚斯
Elie 伊利
Elio 埃利奥
Eliott 艾略特
Elliot 艾略特
Elliott 艾略特
Elton 埃尔顿
Elvin 埃尔温
Elvis 埃尔维斯
Emer 尹美尔
Emerick 埃默里克
Enzo 恩佐
Erasmo 埃拉斯莫
Eric 艾里克
Erwan 艾万
Erwann 艾万
Erwin 埃尔温
Ethan 伊桑
Eugene 尤金
Evan 伊万
Evans 埃文斯
Evens 伊文斯
F-J
Felix 费利克斯
Flavio 弗拉维奥
Forest 佛雷斯特
Fox 福克斯
Francis 弗朗西斯
Franck 富兰克
Frank 弗兰克
Frankie 弗兰克
Franklin 富兰克林
Franky 弗兰克
Frederic 弗雷德里克
Friday 弗莱达
Gabriel 加布里埃尔
Gaby 加比
Gael 盖尔
Gail 盖尔
Gally 加里
Garry 加里
Gary 加里
Gaspard 加斯帕德
Gautier 戈蒂耶
Gavin 贾文
Gaye 盖伊
Gaylord 格劳德
Gemini 杰米尼
Geoffrey 乔弗瑞
George 乔治
Georges 乔治斯
Gilbert 吉尔伯特
Gilberto 吉尔贝托
Gillian 吉利安
Glenn 格伦
Graham 格雷厄姆
Gregory 格雷戈里
Gus 古斯
Gypsy 吉普赛
Hadrien 阿德里安
Hans 汉斯
Harold 阿豪德
Harrison 哈里森
Harry 哈利
Harvey 哈威
Hassan 哈桑
Henri 亨利
Henry 亨利
Herbert 赫伯特
Homer 荷马
Howard 霍华德
Hubert 休伯特
Hudson 哈德森
Hugo 雨果
Iain 伊恩
Ian 伊恩
Ianis 伊安尼斯
Iban 伊邦
Ibrahim 易卜拉辛
Ilan 伊兰
Ilhan 伊兰
Ilias 伊利亚斯
Isaac 艾萨克
Isis 伊西丝

Ivan 伊万
Jack 杰克
Jackie 杰克
Jacky 杰克
Jacob 雅各布
Jake 杰克
James 詹姆斯
Janick 贾尼克
Janne 贾娜
Jason 杰森
Jayson 杰森
Jeff 杰夫
Jefferson 杰斐逊
Jeffrey 杰佛瑞
Jeremy 杰瑞米
Jerome 杰罗姆
Jerrod 杰罗德
Jerry 杰里
Jeshua 约书亚
Jess 杰斯
Jesse 杰西
Jessie 杰西
Jesus 耶稣
Jill 吉尔
Jilly 吉利
Jim 吉姆
Jimi 吉米
Jimmy 吉米
Jocelin 乔斯林
Jocelyn 乔斯林
Joe 乔
Joel 乔尔
Joey 乔伊
Johan 约翰
Johann 乔安
John 约翰
Johnny 强尼
Jonas 乔纳斯
Jonathan 乔纳森
Jordan 乔丹
Joris 乔里斯
Joseph 约瑟夫
Joshua 约书亚
Joss 乔斯
Julian 朱利安
Junior 朱尼奥尔
Justin 贾斯汀
K-O
Kaden 卡登
Keegan 凯甘
Keith 凯斯
Kenneth 肯尼斯
Kerry 凯瑞
Kevin 凯文
Kurt 库尔特
Kyle 凯勒
Lance 兰斯
Lenny 蓝尼
Liam 利亚姆
Louie 路易
Lucas 卢卡斯
Luigi 路易吉
Luke 卢克
Malcolm 马尔科姆
Manuel 曼努埃尔
Marcus 马尔库斯
Mark 马克
Marshall 马歇尔
Martin 马丁
Marvin 马文
Mathis 玛希斯
Matthew 马修
Max 马克斯
Maximus 马克思姆斯
Maxwell 麦克斯韦
Meaghan 米甘
Melvin 梅尔文
Michael 麦克尔
Mickey 米基
Mitchell 米切尔
Morgan 摩根
Nathan 内森
Neil 尼尔
Nelson 尼尔森
Nick 尼克
Nicolas 尼古拉斯
Noah 诺阿
Oliver 奥利弗
Oscar 奥斯卡
Owen 欧文
P-T
Parker 帕克
Patrice 帕特里斯
Patrick 派翠克
Patris 帕特里斯
Paul 保罗
Pedro 佩德罗
Perry 佩瑞
Peter 彼得
Philip 菲力浦
Philippe 菲力浦
Phillipe 菲力浦
Phoenix 菲尼克斯
Pierce 皮尔斯
Quentin 昆汀
Rafael 拉斐尔
Ralph 拉尔夫
Ramon 拉蒙
Randall 兰道尔
Randy 兰迪
Ray 雷
Raymond 雷蒙德
Rayner 雷纳
Reed 列得
Reidar 瑞达
Renan 勒南
René 勒内
Reynald 雷纳尔德
Rhys 莱斯
Richard 理查
Richie 里奇
Rick 里克
Ricky 瑞奇
Rico 利筘
Riley 莱利
Ringo 林戈
Roan 罗安
Robbie 罗比
Robert 罗伯特
Roberto 罗伯托
Robin 罗宾
Robinson 罗宾逊
Robyn 罗宾
Roch 洛克
Roger 罗杰
Roland 罗兰
Roman 罗曼
Romeo 罗密欧
Ronald 罗纳德
Ronan 罗南
Ronnie 罗尼
Ronny 罗尼
Ross 罗斯
Roy 罗一
Rudy 鲁迪
Ryan 里安
Sam 山姆
Samuel 萨谬尔
Scott 斯考特
Sean 肖恩
Sebastian 赛巴斯蒂安
Sergio 塞尔吉奥
Smith 史密斯
Sonny 索尼
Stefan 斯特凡
Stephen 斯蒂芬
Steven 史蒂文
Stevie 史蒂夫
Stewart 斯图尔特
Taylor 泰勒
Ted 泰德
Terri 泰瑞
Theodore 西奥多
Timothy 蒂莫西
Toby 托比
Tod 托德
Tom 汤姆
Tony 托尼
Trevor 特雷弗
Troy 特洛伊
Turner 特纳
U-Z
Umberto 翁贝托
Vergil 维吉尔
Vincent 文森特
Virgil 维吉尔
Wallace 华莱士
Walter 沃尔特
Wayne 韦恩
Wesley 韦斯利
Wilfried 威尔弗里德
William 威廉
Wilson 威尔逊
Yanis 亚尼斯
Yann 雅恩
Zachary 扎卡里
